ADANIENT	ADANI ENTERPRISES LIMITED
DIVINEHIRA	DIVINE HIRA JEWELLERS LTD
DIXON	DIXON TECHNO (INDIA) LTD
DJML	DJ MEDIAPRINT & LOG LTD
DLINKINDIA	D-LINK INDIA LTD
DMCC	DMCC SPECIALITY CHEMICALS
DNAMEDIA	DILIGENT MEDIA CORP LTD.
DODLA	DODLA DAIRY LIMITED
DOLATALGO	DOLAT ALGOTECH LIMITED
DOLLAR	DOLLAR INDUSTRIES LIMITED
DOLLEX	DOLLEX AGROTECH LIMITED
DOLPHIN	DOLPHIN OFF ENT (IND) L
DOMS	DOMS INDUSTRIES LIMITED
DONEAR	DONEAR IND. LIMITED
DPABHUSHAN	D. P. ABHUSHAN LIMITED
DPEL	DIVINE POWER ENERGY LTD
DPSCLTD	DPSC LIMITED
DPWIRES	D P WIRES LIMITED
DREDGECORP	DREDGING CORP OF INDIA
DRONE	DRONE DESTINATION LIMITED
DSSL	DYNACONS SYS & SOLN LTD
DTIL	DHUNSERI TEA & IND. LTD.
DTL	DIENSTEN TECH LIMITED
DUCOL	DUCOL ORGS AND COLOURS LT
DUCON	DUCON INFRATECHNOLOGIES L
DUGLOBAL	DUDIGITAL GLOBAL LIMITED
DURLAX	DURLAX TOP SURFACE LTD
DVL	DHUNSERI VENTURES LIMITED
DWARKESH	DWARIKESH SUGAR IND LTD
DYCL	DYNAMIC CABLES LIMITED
DYNAMATECH	DYNAMATIC TECHNOLOGIES
DYNAMIC	DYNAMIC SRVCS & SEC LTD
DYNPRO	DYNEMIC PRODUCTS LIMITED
E2E	E2E NETWORKS LIMITED
EASEMYTRIP	EASY TRIP PLANNERS LTD
EBGNG	GNG ELECTRONICS LIMITED
ECLERX	ECLERX SERVICES LTD
ECOSMOBLTY	ECOS (INDIA) MOB & HOSP L
EDELWEISS	EDELWEISS FIN SERV LTD
EEPL	EPPELTONE ENGINEERS LTD
EFCIL	EFC (I) LIMITED
EFORCE	ELECTRO FORCE (INDIA) LTD
EIDPARRY	EID PARRY INDIA LTD
EIEL	ENVIRO INFRA ENGINEERS L
EIHAHOTELS	EIH ASSOCIATED HOTELS LTD
EIHOTEL	EIH LIMITED
EIMCOELECO	EIMCO ELECON (INDIA) LTD
EKC	EVEREST KANTO CYLINDERLTD
ELDEHSG	ELDECO HSG & IND LTD.
ELECON	ELECON ENG. CO. LTD
ELECTCAST	ELECTROSTEEL CASTINGS LTD
ELECTHERM	ELECTROTHERM (I) LTD.
ELGIEQUIP	ELGI EQUIPMENTS LTD
ELGIRUBCO	ELGI RUBBER CO. LTD
ELGNZ	ELEGANZ INTERIORS LIMITED
ELIN	ELIN ELECTRONICS LIMITED
ELLEN	ELLENBARRIE INDUS GASES L
EMAMILTD	EMAMI LIMITED
EMAMIPAP	EMAMI PAPER MILLS LIMITED
EMAMIREAL	EMAMI REALTY LIMITED
EMAPARTNER	EMA PARTNERS INDIA LTD
EMBASSY	EMBASSY OFFICE PARKS REIT
EMBDL	EMBASSY DEVELOPMENTS LTD
EMCURE	EMCURE PHARMACEUTICALS L
EMIL	ELECTRONICS MART IND LTD
EMKAY	EMKAY GLOBAL FIN SERV LTD
EMMBI	EMMBI INDUSTRIES LIMITED
EMMIL	ENERGY MISSION MACH IND L
EMSLIMITED	EMS LIMITED
EMUDHRA	EMUDHRA LIMITED
ENDURANCE	ENDURANCE TECHNO. LTD.
ENFUSE	ENFUSE SOLUTIONS LIMITED
ENGINERSIN	ENGINEERS INDIA LTD
ENIL	ENTERTAIN NET. IND. LTD.
ENRIN	SIEMENS ENERGY INDIA LTD
ENTERO	ENTERO HEALTHCARE SOLU L
ENVIRO	ENVIROTECH SYSTEMS LTD
EPACK	EPACK DURABLE LIMITED
EPIGRAL	EPIGRAL LIMITED
EPL	EPL LIMITED
EQUITASBNK	EQUITAS SMALL FIN BNK LTD
ERIS	ERIS LIFESCIENCES LIMITED
ESABINDIA	ESAB INDIA LTD
ESAFSFB	ESAF SMALL FINANCE BANK L
ESCORTS	ESCORTS KUBOTA LIMITED
ESFL	ESSEN SPECIALITY FILMS L
ESPRIT	ESPRIT STONES LIMITED
ESSARSHPNG	ESSAR SHIPPING LTD
ESSENTIA	INTEGRA ESSENTIA LIMITED
ESTER	ESTER INDUSTRIES LTD
ETHOSLTD	ETHOS LIMITED
ETL	EMKAY TOOLS LIMITED
ETML	EMERALD TYRE MANUF LTD
EUREKAFORB	EUREKA FORBES LIMITED
EUROBOND	EURO PANEL PRODUCTS LTD
EUROTEXIND	EUROTEX INDUSTRIES LTD
EVEREADY	EVEREADY INDS. IND.  LTD.
EVERESTIND	EVEREST INDUSTRIES LTD
EXCELINDUS	EXCEL INDUSTRIES LTD
EXICOM	EXICOM TELE SYSTEMS LTD
EXIDEIND	EXIDE INDUSTRIES LTD
EXPLEOSOL	EXPLEO SOLUTIONS LIMITED
FACT	FACT LTD
FAIRCHEMOR	FAIRCHEM ORGANICS LIMITED
FAZE3Q	FAZE THREE LIMITED
FCL	FINEOTEX CHEMICAL LIMITED
FCSSOFT	FCS SOFTWARE SOLN. LTD.
FDC	FDC LIMITED
FEDERALBNK	FEDERAL BANK LTD
FEDFINA	FEDBANK FINANCIAL SER L
FELIX	FELIX INDUSTRIES LTD.
FIBERWEB	FIBERWEB INDIA LIMITED
FIEMIND	FIEM INDUSTRIES LIMITED
FILATEX	FILATEX INDIA LTD
FILATFASH	FILATEX FASHIONS LIMITED
FINCABLES	FINOLEX CABLES LTD
FINEORG	FINE ORGANIC IND. LTD.
FINOPB	FINO PAYMENTS BANK LTD
FINPIPE	FINOLEX INDUSTRIES LTD
FIRSTCRY	BRAINBEES SOLUTIONS LTD
FISCHER	FISCHER MEDICAL VENTURE L
FIVESTAR	FIVE-STAR BUS FIN LTD
FLAIR	FLAIR WRITING INDUST LTD
FLEXITUFF	FLEXITUFF VENTURES INT L
FLUOROCHEM	GUJARAT FLUOROCHEM LTD
FLYSBS	FLYSBS AVIATION LIMITED
FMGOETZE	FEDERAL-MOGUL GOETZE (IND
FMNL	FUTURE MKT NETWORKS LTD
FONEBOX	FONEBOX RETAIL LIMITED
FORCEMOT	FORCE MOTORS LIMITED
FORTIS	FORTIS HEALTHCARE LTD
FOSECOIND	FOSECO INDIA LTD
FRESHARA	FRESHARA AGRO EXPORTS LTD
FROG	FROG CELLSAT LIMITED
FSL	FIRSTSOURCE SOLU. LTD.
FUSION	FUSION FINANCE LIMITED
FUSIONPP	FUSION RS.5 PPD UP
GABRIEL	GABRIEL INDIA LTD
GAEL	GUJARAT AMBUJA EXPORTS LT
GAJANAND	GAJANAND INTERNATIONAL L
GALAPREC	GALA PRECISION ENG LTD
GALAXYSURF	GALAXY SURFACTANTS LTD
GALLANTT	GALLANTT ISPAT LIMITED
GANDHAR	GANDHAR OIL REFINE IND L
GANDHITUBE	GANDHI SPL. TUBES LTD
GANECOS	GANESHA ECOSPHERE LIMITED
GANESHBE	GANESH BENZOPLAST LIMITED
GANESHHOUC	GANESH HOUSING CORP LTD
GANESHIN	GANESH INFRAWORLD LIMITED
GANGAFORGE	GANGA FORGING LIMITED
GANGESSECU	GANGES SECURITIES LIMITED
GARFIBRES	GARWARE TECH FIBRES LTD
GARUDA	GARUDA CONSTRUCT N ENG L
GATEWAY	GATEWAY DISTRIPARKS LTD
GCHOTELS	GRAND CONTINENT HOTELS L
GEECEE	GEECEE VENTURES LIMITED
GEEKAYWIRE	GEEKAY WIRES LIMITED
GEMAROMA	GEM AROMATICS LIMITED
GENESYS	GENESYS INTL CORPN LTD
GENUSPAPER	GENUS P&B LIMITED
GENUSPOWER	GENUS POWER INFRASTRU LTD
GEOJITFSL	GEOJIT FINANCIAL SER L
GESHIP	THE GE SHPG.LTD
GFLLIMITED	GFL LIMITED
GGBL	GANESH GREEN BHARAT LTD
GHCL	GHCL LIMITED
GHCLTEXTIL	GHCL TEXTILES LIMITED
GICHSGFIN	GIC HOUSING FINANCE LTD
GICL	GLOBE INTL CARRIERS LTD
GICRE	GENERAL INS CORP OF INDIA
GILLANDERS	GILLANDERS ARBUTHNOT LTD
GILLETTE	GILLETTE INDIA LTD
GIPCL	GUJ IND POW CO. LTD
GKWLIMITED	GKW LIMITED
GLAND	GLAND PHARMA LIMITED
GLAXO	GLAXOSMITHKLINE PHARMA LT
GLENMARK	GLENMARK PHARMACEUTICALS
GLOBALE	GLOBALE TESSILE LIMITED
GLOBALPET	GLOBAL PET INDUSTRIES LTD
GLOBALVECT	GLOBAL VEC HELICORP LTD
GLOBE	GLOBE TEXTILES (I) LTD.
GLOBECIVIL	GLOBE CIVIL PROJECTS LTD
GLOBUSSPR	GLOBUS SPIRITS LTD
GLOSTERLTD	GLOSTER LIMITED
GMBREW	G M BREWERIES LTD
GMDCLTD	GUJARAT MINERAL DEV CORP
GMMPFAUDLR	GMM PFAUDLER LIMITED
GMRAIRPORT	GMR AIRPORTS LIMITED
GMRP&UI	GMR POW AND URBAN INFRA L
GNA	GNA AXLES LIMITED
GNFC	GUJ NAR VAL FER & CHEM L
GOACARBON	GOA CARBON LIMITED
GOCLCORP	GOCL CORPORATION LIMITED
GOCOLORS	GO FASHION INDIA LTD
GODFRYPHLP	GODFREY PHILLIPS INDIA LT
GODIGIT	GO DIGIT GENERAL INS LTD
GODREJAGRO	GODREJ AGROVET LIMITED
GODREJIND	GODREJ INDUSTRIES LTD
GODREJPROP	GODREJ PROPERTIES LTD
GOKEX	GOKALDAS EXPORTS LTD.
GOKUL	GOKUL REFOILS & SOLV LTD
GOKULAGRO	GOKUL AGRO RESOURCES LTD
GOLDIAM	GOLDIAM INTERNATIONAL LTD
GOLDSTAR	GOLDSTAR POWER LIMITED
GOLDTECH	AION-TECH SOLUTIONS LTD
GOODLUCK	GOODLUCK INDIA LIMITED
GOPAL	GOPAL SNACKS LIMITED
GOYALALUM	GOYAL ALUMINIUMS LIMITED
GOYALSALT	GOYAL SALT LIMITED
GPIL	GODAWARI POW & ISP LTD
GPPL	GUJARAT PIPAVAV PORT LTD
GPTHEALTH	GPT HEALTHCARE LIMITED
GPTINFRA	GPT INFRAPROJECTS LTD
GRANULES	GRANULES INDIA LIMITED
GRAPHISAD	GRAPHISADS LIMITED
GRAPHITE	GRAPHITE INDIA LTD
GRAVITA	GRAVITA INDIA LIMITED
GREAVESCOT	GREAVES COTTON LTD.
GREENCHEF	GREENCHEF APPLIANCES LTD
GREENLAM	GREENLAM INDUSTRIES LTD.
GREENPANEL	GREENPANEL INDUSTRIES LTD
GREENPLY	GREENPLY INDUSTRIES LTD
GREENPOWER	ORIENT GREEN POWER CO LTD
GRETEX	GRETEX INDUSTRIES LTD.
GRINDWELL	GRINDWELL NORTON LIMITED
GRINFRA	G R INFRAPROJECTS LIMITED
GRMOVER	GRM OVERSEAS LIMITED
GRPLTD	GRP LIMITED
GRSE	GARDEN REACH SHIP&ENG LTD
GRWRHITECH	GARWARE HI-TECH FILMS LTD
GSFC	GUJ STATE FERT & CHEM LTD
GSLSU	GLOBAL SURFACES LIMITED
GSPL	GUJARAT STATE PETRO LTD
GSS	GSS INFOTECH LIMITED
GTL	GTL LTD
GTLINFRA	GTL INFRA.LTD
GTPL	GTPL HATHWAY LIMITED
GUFICBIO	GUFIC BIOSCIENCES LTD.
GUJALKALI	GUJARAT ALKALIES & CHEM
GUJAPOLLO	GUJ. APOLLO IND. LTD.
GUJGASLTD	GUJARAT GAS LIMITED
GUJRAFFIA	GUJARAT RAFFIA INDUST LTD
GUJTHEM	GUJARAT THEMIS BIOSYN LTD
GULFOILLUB	GULF OIL LUB. IND. LTD.
GULFPETRO	GP PETROLEUMS LIMITED
GULPOLY	GULSHAN POLYOLS LIMITED
GVPIL	GE POWER INDIA LIMITED
GVPTECH	GVP INFOTECH LIMITED
GVPTECHPP	GVPTECH RE.1 PPD UP
GVT&D	GE VERNOVA T&D INDIA LTD
HAPPSTMNDS	HAPPIEST MINDS TECHNO LTD
HAPPYFORGE	HAPPY FORGINGS LIMITED
HARDWYN	HARDWYN INDIA LIMITED
HARIOMPIPE	HARIOM PIPE INDUSTRIES L
HARRMALAYA	HARRISON MALAYALAM LTD
HARSHA	HARSHA ENGINEERS INT LTD
HATHWAY	HATHWAY CABLE & DATACOM
HATSUN	HATSUN AGRO PRODUCT LTD.
HBLENGINE	HBL ENGINEERING LTD
HCG	HEALTHCARE GLOB. ENT. LTD
HDBFS	HDB FINANCIAL SERVICES L
HDFCAMC	HDFC AMC LIMITED
HEADSUP	HEADS UP VENTURES LIMITED
HEG	HEG LTD
HEIDELBERG	HEIDELBERGCEMENT (I) LTD
HEMIPROP	HEMISPHERE PROP IND LTD
HERANBA	HERANBA INDUSTRIES LTD
HERITGFOOD	HERITAGE FOODS LTD
HESTERBIO	HESTER BIOSCIENCES LTD
HEUBACHIND	HEUBACH COLORANTS IND LTD
HEXATRADEX	HEXA TRADEX LIMITED
HEXT	HEXAWARE TECHNOLOGIES LTD
HFCL	HFCL LIMITED
HGINFRA	H.G.INFRA ENGINEERING LTD
HGS	HINDUJA GLOBAL SOLS. LTD.
HIGREEN	HI GREEN CARBON LIMITED
HIKAL	HIKAL LIMITED
HILINFRA	HIGHWAY INFRASTRUCTURE L
HIMATSEIDE	HIMATSINGKA SEIDE LTD
HINDCOMPOS	HINDUSTAN COMPOSITES LTD.
HINDCON	HINDCON CHEMICALS LIMITED
HINDCOPPER	HINDUSTAN COPPER LTD
HINDNATGLS	HIND NATL GLASS & IND LTD
HINDOILEXP	HINDUSTAN OIL EXPLORATION
HINDPETRO	HINDUSTAN PETROLEUM CORP
HINDWAREAP	HINDWARE HME INOVATON LTD
HINDZINC	HINDUSTAN ZINC LIMITED
HIRECT	HIND RECTIFIER LIMITED
HISARMETAL	HISAR METAL IND. LIMITED
HITECH	HI-TECH PIPES LIMITED
HITECHCORP	HITECH CORPORATION LTD
HLEGLAS	HLE GLASCOAT LIMITED
HLVLTD	HLV LIMITED
HMAAGRO	HMA AGRO INDUSTRIES LTD
HMVL	HINDUSTAN MEDIA VENT LTD
HNDFDS	HINDUSTAN FOODS LIMITED
HOLMARC	HOLMARC OPTO MECHATRO L
HOMEFIRST	HOME FIRST FIN CO IND LTD
HOMESFY	HOMESFY REALTY LIMITED
HONASA	HONASA CONSUMER LIMITED
HONAUT	HONEYWELL AUTOMATION IND
HONDAPOWER	HONDA I POWER PRODUCT LTD
HPAL	HP ADHESIVES LIMITED
HPIL	HINDPRAKASH INDUSTRY LTD
HPL	HPL ELECTRIC & POWER LTD
HSCL	HIMADRI SPECIALITY CHEM L
HUBTOWN	HUBTOWN LIMITED
HUDCO	HSG & URBAN DEV CORPN LTD
HUHTAMAKI	HUHTAMAKI INDIA LIMITED
IBLFL	IBL FINANCE LIMITED
ICEMAKE	ICE MAKE REFRIGERAT LTD
ICIL	INDO COUNT INDUSTRIES LTD
ICRA	ICRA LIMITED
IDBI	IDBI BANK LIMITED
IDEA	VODAFONE IDEA LIMITED
IDEA	VODAFONE IDEA LIMITED
IDEAFORGE	IDEAFORGE TECHNO LTD
IDEALTECHO	IDEAL TECHNOPLAST IND LTD
IDENTICAL	IDENTICAL BRAINS STUDIO L
IDFCFIRSTB	IDFC FIRST BANK LIMITED
IEML	INDIAN EMULSIFIERS LTD
IEX	INDIAN ENERGY EXC LTD
IFBIND	IFB INDUSTRIES LTD
IFCI	IFCI LTD
IFGLEXPOR	IFGL REFRACTORIES LIMITED
IGARASHI	IGARASHI MOTORS INDIA LTD
IGCL	INDOGULF CROPSCIENCES LTD
IGIL	INTERNATIO GEMM INS (I) L
IGL	INDRAPRASTHA GAS LTD
IGPL	I G PETROCHEMICALS LTD
IIFL	IIFL FINANCE LIMITED
IIFLCAPS	IIFL CAPITAL SERVICES LTD
IKIO	IKIO TECHNOLOGIES LIMITED
IKS	INVENTURUS KNOWLEDGE SO L
IMAGICAA	IMAGICAAWORLD ENT LTD
IMFA	INDIAN METALS & FERRO
IMPAL	IND MOTOR PART & ACC LTD
INDBANK	INDBANK MERCH BANK
INDGN	INDEGENE LIMITED
INDIACEM	THE INDIA CEMENTS LIMITED
INDIAGLYCO	INDIA GLYCOLS LTD
INDIAMART	INDIAMART INTERMESH LTD
INDIANB	INDIAN BANK
INDIANCARD	INDIAN CARD CLOTHING CO.
INDIANHUME	INDIAN HUME PIPE CO. LTD.
INDIASHLTR	INDIA SHELTER FIN CORP L
INDIGOPNTS	INDIGO PAINTS LIMITED
INDIGRID	INDIGRID INFRASTRUCT TRST
INDIQUBE	INDIQUBE SPACES LIMITED
INDNIPPON	INDIA NIPPON ELECT  LTD
INDOAMIN	INDO AMINES LIMITED
INDOCO	INDOCO REMEDIES LTD.
INDOFARM	INDO FARM EQUIPMENT LTD
INDOSTAR	INDOSTAR CAPITAL FIN LTD
INDOTECH	INDO TECH TRANSFORM LTD.
INDOUS	INDO US BIOTECH LTD
INDOWIND	INDOWIND ENERGY LTD
INDRAMEDCO	INDRAPRASTHA MEDICAL CORP
INDTERRAIN	IND TERRAIN FASHIONS LTD
INDUSINVIT	INDUS INFRA TRUST
INDUSTOWER	INDUS TOWERS LIMITED
INFIBEAM	INFIBEAM AVENUES LIMITED
INFIBPP	INFIBEAM RE.0.5 PPD UP
INFINIUM	INFINIUM PHARMACHEM LTD
INFLUX	INFLUX HEALTHTECH LIMITED
INFOBEAN	INFOBEANS TECHNO. LTD.
INFOLLION	INFOLLION RESEARCH SER L
INGERRAND	INGERSOLL-RAND INDIA LTD
INM	INTERIORS & MORE LIMITED
INNOVACAP	INNOVA CAPTAB LIMITED
INOXINDIA	INOX INDIA LIMITED
INOXWIND	INOX WIND LIMITED
INSECTICID	INSECTICIDES (I) LTD
INSPIRE	INSPIRE FILMS LIMITED
INTEGRITY	INTEGRITY INFRABUILD DE L
INTELLECT	INTELLECT DESIGN ARENA
INTENTECH	INTENSE TECHNOLOGIES LTD
INTLCONV	INTL CONVEYORS LIMITED
INVENTURE	INVENTURE GRO & SEC LTD
IOB	INDIAN OVERSEAS BANK
IOLCP	IOL CHEM AND PHARMA LTD
IONEXCHANG	ION EXCHANGE (INDIA) LTD
IPCALAB	IPCA LABORATORIES LTD
IPHL	INDIAN PHOSPHATE LIMITED
IPL	INDIA PESTICIDES LIMITED
IPSL	INTEGRATED PERSO SER LTD
IRB	IRB INFRA DEV LTD.
IRBINVIT	IRB INVIT FUND
IRCON	IRCON INTERNATIONAL LTD
IRCTC	INDIAN RAIL TOUR CORP LTD
IREDA	INDIAN RENEWABLE ENERGY
IRMENERGY	IRM ENERGY LIMITED
ISFT	INTRASOFT TECH. LTD
ISGEC	ISGEC HEAVY ENG LTD
ISHAN	ISHAN INTERNATIONAL LTD
ITALIANE	ITALIAN EDIBLES LIMITED
ITCHOTELS	ITC HOTELS LIMITED
ITDC	INDIA TOUR. DEV. CO. LTD.
ITDCEM	ITD CEMENTATION INDIA LTD
ITI	ITI LTD
IVC	IL&FS INVESTMENT MANAGERS
IVP	IVP LTD
IXIGO	LE TRAVENUES TECHNOLOGY L
J&KBANK	J & K BANK LTD.
JAGRAN	JAGRAN PRAKASHAN LIMITED
JAGSNPHARM	JAGSONPAL PHARMACEUTICALS
JAIBALAJI	JAI BALAJI INDUSTRIES LTD
JAICORPLTD	JAI CORP LIMITED
JAIPURKURT	NANDANI CREATION LIMITED
JAMNAAUTO	JAMNA AUTO IND LTD
JASH	JASH ENGINEERING LIMITED
JAYAGROGN	JAYANT AGRO ORGANICS LTD
JAYBEE	JAY BEE LAMINATIONS LTD
JAYNECOIND	JAYASWAL NECO INDUSTR LTD
JAYSREETEA	JAYSHREE TEA & INDUSTRIES
JBCHEPHARM	J B CHEMICALS AND PHARMA
JBMA	JBM AUTO LIMITED
JCHAC	JOHNSON CONTROLS HITACHI
JETFREIGHT	JET FREIGHT LOGISTICS LTD
JEYYAM	JEYYAM GLOBAL FOODS LTD
JFLLIFE	JFL LIFE SCIENCES LIMITED
JGCHEM	J.G.CHEMICALS LIMITED
JHS	JHS SVEND. LAB. LTD
JINDALPHOT	JINDAL PHOTO LIMITED
JINDALPOLY	JINDAL POLY FILMS LIMITED
JINDALSAW	JINDAL SAW LIMITED
JINDRILL	JINDAL DRILLING IND. LTD
JINDWORLD	JINDAL WORLDWIDE LTD
JISLDVREQS	JAIN DVR EQUITY SHARES
JISLJALEQS	JAIN IRRIGATION SYSTEMS
JITFINFRA	JITF INFRALOGISTICS LTD
JKCEMENT	JK CEMENT LIMITED
JKIL	JKUMAR INFR.LTD.
JKLAKSHMI	JK LAKSHMI CEMENT LTD
JKPAPER	JK PAPER LIMITED
JKTYRE	JK TYRE & INDUSTRIES LTD
JLHL	JUPITER LIFE LINE HOSP L
JMA	JULLUNDUR MOT AGENCY LTD
JMFINANCIL	JM FINANCIAL LIMITED
JNKINDIA	JNK INDIA LIMITED
JOCIL	JOCIL LIMITED
JPOLYINVST	JIND POL INV & FIN CO LTD
JPPOWER	JAIPRAKASH POWER VEN. LTD
JSFB	JANA SMALL FIN BANK LTD
JSL	JINDAL STAINLESS LIMITED
JSLL	JEENA SIKHO LIFECARE LTD
JSWCEMENT	JSW CEMENT LIMITED
JSWHL	JSW HOLDINGS LIMITED
JSWINFRA	JSW INFRASTRUCTURE LTD
JTEKTINDIA	JTEKT INDIA LIMITED
JTLIND	JTL INDUSTRIES LIMITED
JUBLCPL	JUBILANT AGRI N CON PRO L
JUBLFOOD	JUBILANT FOODWORKS LTD
JUBLINGREA	JUBILANT INGREVIA LIMITED
JUBLPHARMA	JUBILANT PHARMOVA LTD
JUNIPER	JUNIPER HOTELS LIMITED
JUSTDIAL	JUSTDIAL LTD.
JWL	JUPITER WAGONS LIMITED
JYOTHYLAB	JYOTHY LABS LIMITED
JYOTICNC	JYOTI CNC AUTOMATION LTD
JYOTIGLOBL	JYOTI GLOBAL PLAST LTD
JYOTISTRUC	JYOTI STRUCTURES LTD
K2INFRA	K2 INFRAGEN LIMITED
KABRAEXTRU	KABRA EXTRUSION TECHNIK L
KAJARIACER	KAJARIA CERAMICS LTD
KAKATCEM	KAKATIYA CEM SUGAR &IND L
KALAMANDIR	SAI SILKS (KALAMANDIR) L
KALANA	KALANA ISPAT LIMITED
KALPATARU	KALPATARU LIMITED
KALYANIFRG	KALYANI FORGE LIMITED
KALYANKJIL	KALYAN JEWELLERS IND LTD
KAMATHOTEL	KAMAT HOTELS (I) LTD
KAMDHENU	KAMDHENU LIMITED
KAMOPAINTS	KAMDHENU VENTURES LIMITED
KANANIIND	KANANI INDUSTRIES LTD
KANORICHEM	KANORIA CHEMICALS & INDUS
KANPRPLA	KANPUR PLASTIPACK LIMITED
KANSAINER	KANSAI NEROLAC PAINTS LTD
KAPSTON	KAPSTON SERVICES LIMITED
KARNIKA	KARNIKA INDUSTRIES LTD
KARURVYSYA	KARUR VYSYA BANK LTD
KATARIA	KATARIA INDUSTRIES LTD
KAUSHALYA	KAUSHALYA INFRA DEV LTD.
KAYNES	KAYNES TECHNOLOGY IND LTD
KAYTEX	KAYTEX FABRICS LIMITED
KCEIL	KAY CEE ENERGY & INFRA L
KCK	KCK INDUSTRIES LTD
KCP	KCP LTD
KCPSUGIND	KCP SUGAR IND CORP LTD.
KDDL	KDDL LIMITED
KDL	KORE DIGITAL LIMITED
KEC	KEC INTL. LIMITED
KECL	KIRLOSKAR ELECTRIC CO LTD
KEI	KEI INDUSTRIES LTD.
KELLTONTEC	KELLTON TECH SOL LTD
KEN	KEN ENTERPRISES LIMITED
KEYFINSERV	KEYNOTE FIN SERV LTD.
KFINTECH	KFIN TECHNOLOGIES LIMITED
KHADIM	KHADIM INDIA LIMITED
KHANDSE	KHANDWALA SECURITIES LTD
KHFM	KHFM HOS FAC MANA SER LTD
KICL	KALYANI INVEST CO LTD
KIMS	KRISHNA INST OF MED SCI L
KINGFA	KINGFA SCI & TEC IND LTD.
KIOCL	KIOCL LIMITED
KIRIINDUS	KIRI INDUSTRIES LIMITED
KIRLOSBROS	KIRLOSKAR BROTHERS LTD
KIRLOSENG	KIRLOSKAR OIL ENG LTD
KIRLOSIND	KIRLOSKAR INDUSTRIES LTD
KIRLPNU	KIRLOSKAR PNEUMATIC COM L
KITEX	KITEX GARMENTS LTD
KKCL	KEWAL KIRAN CLOTHING LTD
KKJEWELS	KABRA JEWELS LIMITED
KLL	KAUSHALYA LOGISTICS LTD
KMEW	KNOWLEDGE MARINE & EN W L
KMSUGAR	K M SUGAR MILLS LTD
KNAGRI	KN AGRI RESOURCES LIMITED
KNRCON	KNR CONSTRU LTD.
KODYTECH	KODY TECHNOLAB LIMITED
KOHINOOR	KOHINOOR FOODS LIMITED
KOKUYOCMLN	KOKUYO CAMLIN LIMITED
KOLTEPATIL	KOLTE PATIL DEV. LTD.
KONTOR	KONTOR SPACE LIMITED
KOPRAN	KOPRAN LTD
KORE	JAY JALARAM TECHNO LTD
KOTARISUG	KOTHARI SUG & CHEM LTD.
KOTHARIPET	KOTHARI PETROCHEM LTD
KOTHARIPRO	KOTHARI PRODUCTS LTD
KPEL	K.P. ENERGY LIMITED
KPIGREEN	KPI GREEN ENERGY LIMITED
KPIL	KALPATARU PROJECT INT LTD
KPITTECH	KPIT TECHNOLOGIES LIMITED
KPRMILL	KPR MILL LTD.
KRBL	KRBL LIMITED
KRISHANA	KRISHANA PHOSCHEM LIMITED
KRISHCA	KRISHCA STRAPPING SLTN L
KRISHNADEF	KRISHNA DEF AND ALD IND L
KRITIKA	KRITIKA WIRES LIMITED
KRITINUT	KRITI NUTRIENTS LIMITED
KRN	KRN HEAT EXCHANGE N REF L
KRONOX	KRONOX LAB SCIENCES LTD
KROSS	KROSS LIMITED
KRSNAA	KRSNAA DIAGNOSTICS LTD
KRT	KNOWLEDGE REALTY TRUST
KRYSTAL	KRYSTAL INTEGRATED SER L
KSB	KSB LIMITED
KSCL	KAVERI SEED CO. LTD.
KSHITIJPOL	KSHITIJ POLYLINE LIMITED
KSL	KALYANI STEELS LIMITED
KSOLVES	KSOLVES INDIA LIMITED
KTKBANK	KARNATAKA BANK LIMITED
KUANTUM	KUANTUM PAPERS LIMITED
LAGNAM	LAGNAM SPINTEX LIMITED
LAKSHYA	LAKSHYA POWERTECH LIMITED
LALPATHLAB	DR. LAL PATH LABS LTD.
LAMBODHARA	LAMBODHARA TEXTILES LTD.
LAMOSAIC	LAMOSAIC INDIA LIMITED
LANCORHOL	LANCOR HOLDINGS LIMITED
LANDMARK	LANDMARK CARS LIMITED
LAOPALA	LA OPALA RG LIMITED
LATENTVIEW	LATENT VIEW ANALYTICS LTD
LATTEYS	LATTEYS INDUSTRIES LTD
LAURUSLABS	LAURUS LABS LIMITED
LAWSIKHO	ADDICTIVE LEARNING TECH L
LAXMICOT	LAXMI COTSPIN LIMITED
LAXMIDENTL	LAXMI DENTAL LIMITED
LAXMIINDIA	LAXMI INDIA FINANCE LTD
LCCINFOTEC	LCC INFOTECH LTD
LEMERITE	LE MERITE EXPORTS LIMITED
LEMONTREE	LEMON TREE HOTELS LTD
LEXUS	LEXUS GRANITO (INDIA) LTD
LFIC	LAKSHMI FIN IND CORP LTD
LGBBROSLTD	LG BALAKRISHNAN & BROS
LGHL	LAXMI GOLDORNA HOUSE LTD
LIBAS	LIBAS CONSU PRODUCTS LTD
LICHSGFIN	LIC HOUSING FINANCE LTD
LIKHITHA	LIKHITHA INFRASTRUC LTD
LINCOLN	LINCOLN PHARMA LTD
LINDEINDIA	LINDE INDIA LIMITED
LLOYDSENGG	LLOYDS ENGG WORK LIMITED
LLOYDSENPP	LLOYD RS.0.50 PPD UP
LLOYDSENT	LLOYDS ENTERPRISES LTD
LLOYDSME	LLOYDS METALS N ENERGY L
LMW	LMW LIMITED
LOKESHMACH	LOKESH MACHINES LTD
